row_id,player_id,player_name,club,season,matched,match_type,name_score,club_score,fbref_player_name,fbref_club
7164,375382,André Almeida,Valencia CF,2023,False,none,0,0,,
7165,375382,André Almeida,Valencia CF,2024,False,none,0,0,,
7215,380350,Igor Julio,Brighton & Hove Albion,2023,False,none,0,0,,
7216,380350,Igor Julio,Brighton & Hove Albion,2024,False,none,0,0,,
7217,380415,Henry Onyekuru,Everton FC,2018,False,none,0,0,,
7244,384461,Jakub Moder,Brighton & Hove Albion,2022,False,none,0,0,,
7306,389253,Auston Trusty,Arsenal FC,2022,False,none,0,0,,
7323,391065,Hamed Traoré,FC Empoli,2018,False,none,0,0,,
7324,391065,Hamed Traoré,US Sassuolo,2019,False,none,0,0,,
7325,391065,Hamed Traoré,US Sassuolo,2020,False,none,0,0,,
7326,391065,Hamed Traoré,US Sassuolo,2021,False,none,0,0,,
7327,391065,Hamed Traoré,US Sassuolo,2022,False,none,0,0,,
7328,391065,Hamed Traoré,SSC Napoli,2023,False,none,0,0,,
7329,391065,Hamed Traoré,AJ Auxerre,2024,False,none,0,0,,
7334,392085,Nicolò Zaniolo,AS Roma,2020,False,none,0,0,,
7372,392771,Ethan Ampadu,Chelsea FC,2018,False,none,0,0,,
7382,392775,Ryan Sessegnon,Tottenham Hotspur,2023,False,none,0,0,,
7410,394328,Rafik Guitane,Stade Rennais FC,2018,False,none,0,0,,
7413,395083,Andreaw Gravillon,Inter Milan,2018,False,none,0,0,,
7415,395083,Andreaw Gravillon,Stade Reims,2021,False,none,0,0,,
7551,401604,Michal Karbownik,Brighton & Hove Albion,2020,False,none,0,0,,
7561,401923,Victor Osimhen,VfL Wolfsburg,2018,False,none,0,0,,
7584,403898,Jordan Beyer,Borussia Mönchengladbach,2022,False,none,0,0,,
7624,406560,Rhian Brewster,Liverpool FC,2019,False,none,0,0,,
7644,406638,Oliver Skipp,Tottenham Hotspur,2020,False,none,0,0,,
7774,417575,Uros Racic,Valencia CF,2018,False,none,0,0,,
7777,417575,Uros Racic,Valencia CF,2022,False,none,0,0,,
7781,418543,Perr Schuurs,Torino FC,2024,False,none,0,0,,
7803,420064,Caio Henrique,AS Monaco,2021,False,none,0,0,,
