league,season,team,player,nation,pos,age,born,keeper_playing_time_mp,keeper_playing_time_starts,keeper_playing_time_min,keeper_90s,keeper_performance_ga,keeper_performance_ga90,keeper_performance_sota,keeper_performance_saves,keeper_performance_savepct,keeper_performance_w,keeper_performance_d,keeper_performance_l,keeper_performance_cs,keeper_performance_cspct,keeper_penalty_kicks_pkatt,keeper_penalty_kicks_pka,keeper_penalty_kicks_pksv,keeper_penalty_kicks_pkm,keeper_penalty_kicks_savepct,fbref_season_label,fbref_stat_type
ITA-Serie A,2018,Empoli,Ivan Provedel,ITA,GK,24,1994,16,16,1440,16.0,36,2.25,104,68,65.4,4,4,8,0,0.0,4,3,0,1,0.0,2018-2019,keeper
ITA-Serie A,2018,Empoli,Pietro Terracciano,ITA,GK,28,1990,8,8,720,8.0,10,1.25,36,26,72.2,1,2,5,2,25.0,0,0,0,0,,2018-2019,keeper
ITA-Serie A,2018,Fiorentina,Alban Lafont,CIV,GK,19,1999,34,34,3015,33.5,40,1.19,130,90,69.2,8,15,11,9,26.5,6,5,1,0,16.7,2018-2019,keeper
ITA-Serie A,2018,Fiorentina,Bartłomiej Drągowski,POL,GK,20,1997,3,2,225,2.5,2,0.8,8,6,75.0,0,1,1,1,50.0,0,0,0,0,,2018-2019,keeper
ITA-Serie A,2018,Fiorentina,Pietro Terracciano,ITA,GK,28,1990,2,2,180,2.0,3,1.5,11,8,72.7,0,1,1,0,0.0,0,0,0,0,,2018-2019,keeper
ITA-Serie A,2018,Frosinone,Francesco Bardi,ITA,GK,26,1992,3,3,270,3.0,5,1.67,12,7,58.3,0,1,2,1,33.3,0,0,0,0,,2018-2019,keeper
ITA-Serie A,2018,Frosinone,Marco Sportiello,ITA,GK,26,1992,35,35,3150,35.0,64,1.83,206,142,68.9,5,9,21,8,22.9,5,5,0,0,0.0,2018-2019,keeper
ITA-Serie A,2018,Genoa,Federico Marchetti,ITA,GK,35,1983,4,4,360,4.0,10,2.5,19,9,47.4,2,0,2,1,25.0,0,0,0,0,,2018-2019,keeper
ITA-Serie A,2018,Genoa,Ionuț Radu,ROU,GK,21,1997,33,33,2970,33.0,46,1.39,145,104,68.3,6,14,13,6,18.2,6,5,1,0,16.7,2018-2019,keeper
ITA-Serie A,2018,Genoa,Jandrei,BRA,GK,25,1993,1,1,90,1.0,1,1.0,3,2,66.7,0,0,1,0,0.0,0,0,0,0,,2018-2019,keeper
ITA-Serie A,2018,Inter,Samir Handanović,SVN,GK,34,1984,38,38,3420,38.0,33,0.87,130,98,74.6,20,9,9,17,44.7,5,3,0,2,0.0,2018-2019,keeper
ITA-Serie A,2018,Juventus,Carlo Pinsoglio,ITA,GK,28,1990,1,1,90,1.0,2,2.0,3,1,33.3,0,0,1,0,0.0,0,0,0,0,,2018-2019,keeper
ITA-Serie A,2018,Juventus,Mattia Perin,ITA,GK,25,1992,9,9,810,9.0,8,0.89,28,20,71.4,6,1,2,5,55.6,1,1,0,0,0.0,2018-2019,keeper
ITA-Serie A,2018,Juventus,Wojciech Szczęsny,POL,GK,28,1990,28,28,2520,28.0,20,0.71,83,63,75.9,22,5,1,11,39.3,3,1,1,1,50.0,2018-2019,keeper
