model,scenario,split,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,recall_tinggi,params
random_forest,hybrid_sampling_light,validation,0.6904047976011994,0.6925019299142862,0.7089238164401563,0.6953502539449953,0.687708592694778,0.7285714285714285,"{'n_estimators': 500, 'max_depth': 20, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'class_weight': None}"
xgboost,no_sampling,validation,0.7031484257871065,0.7244288591642966,0.6783172528270566,0.6953133315321068,0.702180097778095,0.5761904761904761,"{'n_estimators': 800, 'max_depth': 3, 'learning_rate': 0.1, 'subsample': 1.0, 'colsample_bytree': 1.0, 'min_child_weight': 1, 'reg_lambda': 5}"
xgboost,no_sampling,validation,0.7016491754122939,0.7274608030259454,0.6765449389632398,0.695197804837005,0.700857753184457,0.5761904761904761,"{'n_estimators': 800, 'max_depth': 4, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 1.0, 'min_child_weight': 3, 'reg_lambda': 1}"
xgboost,class_weight_balanced,validation,0.6956521739130435,0.6959649560096998,0.7023532869938099,0.6951876625789669,0.6933306966917879,0.680952380952381,"{'n_estimators': 800, 'max_depth': 3, 'learning_rate': 0.03, 'subsample': 0.8, 'colsample_bytree': 1.0, 'min_child_weight': 5, 'reg_lambda': 5}"
random_forest,no_sampling,validation,0.699400299850075,0.7256335721844266,0.6794204101393645,0.6949880274426686,0.6983012029963405,0.580952380952381,"{'n_estimators': 300, 'max_depth': None, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'class_weight': None}"
xgboost,no_sampling,validation,0.7016491754122939,0.7269132809128394,0.6778884393263477,0.6949039980624431,0.7005029383995538,0.5714285714285714,"{'n_estimators': 300, 'max_depth': 5, 'learning_rate': 0.03, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 3, 'reg_lambda': 5}"
xgboost,hybrid_sampling_light,validation,0.6926536731634183,0.6979421649628903,0.6993662897257669,0.6948689297319514,0.6906958611781844,0.680952380952381,"{'n_estimators': 800, 'max_depth': 3, 'learning_rate': 0.1, 'subsample': 1.0, 'colsample_bytree': 1.0, 'min_child_weight': 1, 'reg_lambda': 5}"
random_forest,class_weight_balanced,validation,0.6904047976011994,0.6933348530777182,0.7058909983746585,0.6946249375029989,0.6877538304314309,0.7142857142857143,"{'n_estimators': 300, 'max_depth': 15, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'class_weight': 'balanced'}"
xgboost,hybrid_sampling_light,validation,0.6926536731634183,0.6989188081653835,0.6949899712971609,0.694622541365186,0.6915913025721845,0.6714285714285714,"{'n_estimators': 500, 'max_depth': 5, 'learning_rate': 0.1, 'subsample': 1.0, 'colsample_bytree': 0.8, 'min_child_weight': 5, 'reg_lambda': 5}"
xgboost,hybrid_sampling_light,validation,0.6949025487256372,0.6930754602421785,0.7034270498322787,0.6946179935512089,0.692707899592562,0.6904761904761905,"{'n_estimators': 500, 'max_depth': 4, 'learning_rate': 0.05, 'subsample': 1.0, 'colsample_bytree': 1.0, 'min_child_weight': 3, 'reg_lambda': 3}"
xgboost,hybrid_sampling_light,validation,0.6956521739130435,0.7038369891630761,0.691353701974617,0.6946157430824486,0.6944681900670483,0.6428571428571429,"{'n_estimators': 300, 'max_depth': 5, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 1.0, 'min_child_weight': 5, 'reg_lambda': 5}"
random_forest,no_sampling,validation,0.699400299850075,0.7267481009314926,0.6777898813846527,0.6944202895687724,0.6983705001833223,0.5761904761904761,"{'n_estimators': 500, 'max_depth': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'class_weight': None}"
random_forest,hybrid_sampling_light,validation,0.6896551724137931,0.6914291601928614,0.7085952899678389,0.6944019200408484,0.6867979158318378,0.7285714285714285,"{'n_estimators': 300, 'max_depth': 20, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'class_weight': None}"
