age,age_peak_distance,is_peak_age,height_m,preferred_foot,pos_category,is_goalkeeper,is_defender,is_midfielder,is_forward,league,league_rank,club_total_mv_mio,club_total_mv_rank_league_season,club_total_mv_pct_league_season,club_mv_relative_to_league_avg,prev_season_mv,two_seasons_ago_mv,has_prev_mv,mv_history_count,prev_growth_rate_clipped,prev_season_mv_log,prev_mv_category,two_seasons_ago_mv_category,prev_mv_to_club_total_ratio,minutes,goals,assists,yellow_cards,shots_total,shots_on_target,starts_rate,goals_per_90,assists_per_90,goal_assist_per_90,shots_per_90,has_performance_stats,season,market_value_category,_source_row_id,_oversampling_status,_is_oversampled_duplicate
33.0,6.0,0,1.89,right,Goalkeeper,1,0,0,0,Premier League,1,411.1,8.0,0.489766081871345,0.8576663074253156,12.0,10.0,1,2,0.2,2.5649493574615367,Rendah,Rendah,0.0291899781075164,3420.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0263157894736842,1,2019,Rendah,55,Original,False
34.0,7.0,0,1.89,right,Goalkeeper,1,0,0,0,Premier League,1,510.6,8.0,0.4731638418079096,0.9872155239013584,9.5,12.0,1,3,-0.2083333333333333,2.3513752571634776,Rendah,Rendah,0.0186055620838229,3420.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,2020,Rendah,56,Original,False
31.0,4.0,0,1.86,right,Midfield,0,0,1,0,Bundesliga,3,126.15,11.0,0.7644230769230769,0.4240723336891619,0.0,0.0,0,0,0.0,0.0,No History,No History,0.0,2357.0,6.0,1.0,4.0,44.0,16.0,0.8709677419354839,0.2291047942299533,0.0381841323716588,0.2672889266016122,1.680101824352991,1,2017,Rendah,57,Original,False
32.0,5.0,0,1.86,right,Midfield,0,0,1,0,Serie A,4,242.05,9.0,0.6124497991967871,0.6200221527415793,7.0,0.0,1,1,0.0,2.079441541679836,Rendah,No History,0.0289196447015079,938.0,4.0,1.0,1.0,28.0,12.0,0.8461538461538461,0.3837953091684435,0.0959488272921108,0.4797441364605543,2.686567164179104,1,2018,Rendah,58,Original,False
32.0,5.0,0,1.93,right,Goalkeeper,1,0,0,0,Bundesliga,3,811.85,1.0,0.048076923076923,2.729156750737583,0.0,0.0,0,0,0.0,0.0,No History,No History,0.0,270.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,2017,Menengah,59,Original,False
33.0,6.0,0,1.93,right,Goalkeeper,1,0,0,0,Bundesliga,3,784.88,1.0,0.0431818181818181,2.282926834427728,35.0,0.0,1,1,0.0,3.58351893845611,Menengah,No History,0.0445928039955152,2302.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,2018,Menengah,60,Original,False
34.0,7.0,0,1.93,right,Goalkeeper,1,0,0,0,Bundesliga,3,777.33,1.0,0.0516431924882629,2.2320630521556155,18.0,35.0,1,2,-0.4857142857142857,2.9444389791664403,Menengah,Menengah,0.0231561884913743,2970.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,2019,Rendah,61,Original,False
35.0,8.0,0,1.93,right,Goalkeeper,1,0,0,0,Bundesliga,3,858.23,1.0,0.0470852017937219,2.4843294780430183,14.5,18.0,1,3,-0.1944444444444444,2.740840023925201,Rendah,Menengah,0.0168952378732973,2970.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,2020,Menengah,62,Original,False
36.0,9.0,0,1.93,right,Goalkeeper,1,0,0,0,Bundesliga,3,790.33,1.0,0.0472636815920398,2.3836017435535783,18.0,14.5,1,4,0.2413793103448276,2.9444389791664403,Menengah,Rendah,0.0227752963951766,2510.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,2021,Menengah,63,Original,False
31.0,4.0,0,1.88,left,Goalkeeper,1,0,0,0,Premier League,1,829.6,5.0,0.2857142857142857,1.7883195944227852,0.0,0.0,0,0,0.0,0.0,No History,No History,0.0,3240.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,2017,Menengah,64,Original,False
32.0,5.0,0,1.88,left,Goalkeeper,1,0,0,0,Premier League,1,898.6,3.0,0.2142857142857142,1.643577578599538,25.0,0.0,1,1,0.0,3.258096538021482,Menengah,No History,0.0278210549744046,2970.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,2018,Menengah,65,Original,False
33.0,6.0,0,1.88,left,Goalkeeper,1,0,0,0,Premier League,1,806.8,3.0,0.1608187134502924,1.683204030237763,25.0,25.0,1,2,0.0,3.258096538021482,Menengah,Menengah,0.0309866137828458,1807.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,2019,Rendah,66,Original,False
34.0,7.0,0,1.88,left,Goalkeeper,1,0,0,0,Premier League,1,703.5,5.0,0.2895480225988701,1.360176500322377,14.5,25.0,1,3,-0.42,2.740840023925201,Rendah,Menengah,0.0206112295664534,3420.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,2020,Rendah,67,Original,False
35.0,8.0,0,1.88,left,Goalkeeper,1,0,0,0,Premier League,1,689.35,5.0,0.2968299711815562,1.3037028942537858,9.0,14.5,1,4,-0.3793103448275862,2.302585092994046,Rendah,Rendah,0.0130557771814027,3420.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,2021,Rendah,68,Original,False
